

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Trinidad and Tobago",780,"Dependency ratio",4192,1977,0.0,"E","","0"
"Tunisia",788,"Dependency ratio",4192,1977,9.1007583965,"E","","0"
"Turkey",792,"Dependency ratio",4192,1977,1.5184381779,"E","","0"
"Tuvalu",798,"Dependency ratio",4192,1977,0.0,"","","6043"
"Uganda",800,"Dependency ratio",4192,1977,35.1081530782,"E","","0"
"United Arab Emirates",784,"Dependency ratio",4192,1977,0.0,"E","","0"
"United Kingdom",826,"Dependency ratio",4192,1977,1.3605442177,"E","","0"
"United Republic of Tanzania",834,"Dependency ratio",4192,1977,12.7454035525,"E","","0"
"United States of America",840,"Dependency ratio",4192,1977,8.1785597915,"E","","0"
"Uruguay",858,"Dependency ratio",4192,1977,46.4576074332,"E","","0"
"Vanuatu",548,"Dependency ratio",4192,1977,0.0,"","","6043"
"Venezuela (Bolivarian Republic of)",862,"Dependency ratio",4192,1977,39.2452830189,"E","","0"
"Viet Nam",704,"Dependency ratio",4192,1977,59.347147446,"E","","0"
"Yemen",887,"Dependency ratio",4192,1977,0.0,"E","","0"
"Zambia",894,"Dependency ratio",4192,1977,23.4732824427,"E","","0"
"Zimbabwe",716,"Dependency ratio",4192,1977,38.7,"E","","0"
"Afghanistan",4,"Total renewable water resources per capita",4190,1977,4960.0244653036,"E","","0"
"Albania",8,"Total renewable water resources per capita",4190,1977,11990.3838709485,"E","","0"
"Algeria",12,"Total renewable water resources per capita",4190,1977,663.5422681032,"E","","0"
"Andorra",20,"Total renewable water resources per capita",4190,1977,9630.465960758,"E","","0"
"Angola",24,"Total renewable water resources per capita",4190,1977,19698.0647713252,"E","","0"
"Antigua and Barbuda",28,"Total renewable water resources per capita",4190,1977,836.5642947924,"E","","0"
"Argentina",32,"Total renewable water resources per capita",4190,1977,32865.4933998585,"E","","0"
"Australia",36,"Total renewable water resources per capita",4190,1977,34912.068420842,"E","","0"
"Austria",40,"Total renewable water resources per capita",4190,1977,10174.7170459641,"E","","0"
"Bahamas",44,"Total renewable water resources per capita",4190,1977,3551.4786835176,"E","","0"
"Bahrain",48,"Total renewable water resources per capita",4190,1977,382.6173002391,"E","","0"
"Bangladesh",50,"Total renewable water resources per capita",4190,1977,16702.5883191324,"E","","0"
"Barbados",52,"Total renewable water resources per capita",4190,1977,321.366450146,"E","","0"
"Belgium",56,"Total renewable water resources per capita",4190,1977,1876.5381460213,"E","","0"
"Belize",84,"Total renewable water resources per capita",4190,1977,158655.074495032,"E","","0"
"Benin",204,"Total renewable water resources per capita",4190,1977,7686.1712120122,"E","","0"
"Bhutan",64,"Total renewable water resources per capita",4190,1977,255769.62426096,"E","","0"
"Bolivia (Plurinational State of)",68,"Total renewable water resources per capita",4190,1977,109788.128039735,"E","","0"
"Botswana",72,"Total renewable water resources per capita",4190,1977,15289.8895605281,"E","","0"
"Brazil",76,"Total renewable water resources per capita",4190,1977,76913.2297088188,"E","","0"
"Brunei Darussalam",96,"Total renewable water resources per capita",4190,1977,48650.9381045594,"E","","0"
"Bulgaria",100,"Total renewable water resources per capita",4190,1977,2419.9309603922,"E","","0"
"Burkina Faso",854,"Total renewable water resources per capita",4190,1977,2109.7260716041,"E","","0"
"Burundi",108,"Total renewable water resources per capita",4190,1977,3252.3489114516,"E","","0"
"Cabo Verde",132,"Total renewable water resources per capita",4190,1977,1097.5542832056,"E","","0"
"Cambodia",116,"Total renewable water resources per capita",4190,1977,66161.3703755481,"E","","0"
"Cameroon",120,"Total renewable water resources per capita",4190,1977,35898.3006151459,"E","","0"
"Canada",124,"Total renewable water resources per capita",4190,1977,122787.191391932,"E","","0"
"Central African Republic",140,"Total renewable water resources per capita",4190,1977,69120.3915449584,"E","","0"
"Chad",148,"Total renewable water resources per capita",4190,1977,10739.6795674424,"E","","0"
"Chile",152,"Total renewable water resources per capita",4190,1977,84507.7978781773,"E","","0"
"China",156,"Total renewable water resources per capita",4190,1977,2899.2672302201,"E","","0"
"Colombia",170,"Total renewable water resources per capita",4190,1977,93782.7407568863,"E","","0"
"Comoros",174,"Total renewable water resources per capita",4190,1977,4349.4019572309,"E","","0"
"Congo",178,"Total renewable water resources per capita",4190,1977,510677.267311929,"E","","0"
"Cook Islands",184,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Costa Rica",188,"Total renewable water resources per capita",4190,1977,51232.8760912489,"E","","0"
"Côte d'Ivoire",384,"Total renewable water resources per capita",4190,1977,11974.6741476833,"E","","0"
"Cuba",192,"Total renewable water resources per capita",4190,1977,3951.8389839171,"E","","0"
"Cyprus",196,"Total renewable water resources per capita",4190,1977,1172.0070620938,"E","","0"
"Democratic People's Republic of Korea",408,"Total renewable water resources per capita",4190,1977,4593.197495347,"E","","0"
"Democratic Republic of the Congo",180,"Total renewable water resources per capita",4190,1977,52909.1146775163,"E","","0"
"Denmark",208,"Total renewable water resources per capita",4190,1977,1177.1526443263,"E","","0"
"Djibouti",262,"Total renewable water resources per capita",4190,1977,1081.162898814,"E","","0"
"Dominica",212,"Total renewable water resources per capita",4190,1977,2723.311546841,"E","","0"
"Dominican Republic",214,"Total renewable water resources per capita",4190,1977,4345.8159963014,"E","","0"
"Ecuador",218,"Total renewable water resources per capita",4190,1977,59915.5656414026,"E","","0"
"Egypt",818,"Total renewable water resources per capita",4190,1977,1425.7521940033,"E","","0"
"El Salvador",222,"Total renewable water resources per capita",4190,1977,6055.1467825665,"E","","0"
"Equatorial Guinea",226,"Total renewable water resources per capita",4190,1977,107368.803581163,"E","","0"
"Eswatini",748,"Total renewable water resources per capita",4190,1977,8473.3025213242,"E","","0"
"Faroe Islands",234,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Fiji",242,"Total renewable water resources per capita",4190,1977,47718.8548811959,"E","","0"
"Finland",246,"Total renewable water resources per capita",4190,1977,23172.8619664238,"E","","0"
"France",250,"Total renewable water resources per capita",4190,1977,3965.5277984062,"E","","0"
"Gabon",266,"Total renewable water resources per capita",4190,1977,245469.534421187,"E","","0"
"Gambia",270,"Total renewable water resources per capita",4190,1977,13870.6595672007,"E","","0"
"Germany",276,"Total renewable water resources per capita",4190,1977,1957.1132188599,"E","","0"
"Ghana",288,"Total renewable water resources per capita",4190,1977,5406.2103312102,"E","","0"
"Greece",300,"Total renewable water resources per capita",4190,1977,7390.6172440388,"E","","0"
"Grenade",308,"Total renewable water resources per capita",4190,1977,2216.6313852838,"E","","0"
"Guatemala",320,"Total renewable water resources per capita",4190,1977,18906.1706453728,"E","","0"
"Guinea",324,"Total renewable water resources per capita",4190,1977,48823.9372098243,"E","","0"
"Guinea-Bissau",624,"Total renewable water resources per capita",4190,1977,40687.4362639086,"E","","0"
"Guyana",328,"Total renewable water resources per capita",4190,1977,355445.264052548,"E","","0"
"Haiti",332,"Total renewable water resources per capita",4190,1977,2648.3492013306,"E","","0"
"Holy See",336,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Honduras",340,"Total renewable water resources per capita",4190,1977,27488.4612229985,"E","","0"
"Hungary",348,"Total renewable water resources per capita",4190,1977,9777.5954298015,"E","","0"
"Iceland",352,"Total renewable water resources per capita",4190,1977,764849.324683037,"E","","0"
"India",356,"Total renewable water resources per capita",4190,1977,2928.9918687421,"E","","0"
"Indonesia",360,"Total renewable water resources per capita",4190,1977,14705.1905410841,"E","","0"
"Iran (Islamic Republic of)",364,"Total renewable water resources per capita",4190,1977,3937.7301612546,"E","","0"
"Iraq",368,"Total renewable water resources per capita",4190,1977,7210.680087658,"E","","0"
"Ireland",372,"Total renewable water resources per capita",4190,1977,16035.6830954296,"E","","0"
"Israel",376,"Total renewable water resources per capita",4190,1977,512.6553878641,"E","","0"
"Italy",380,"Total renewable water resources per capita",4190,1977,3429.6749894403,"E","","0"
"Jamaica",388,"Total renewable water resources per capita",4190,1977,5201.2873702862,"E","","0"
"Japan",392,"Total renewable water resources per capita",4190,1977,3744.736728984,"E","","0"
"Jordan",400,"Total renewable water resources per capita",4190,1977,429.9421436447,"E","","0"
"Kenya",404,"Total renewable water resources per capita",4190,1977,2097.153541013,"E","","0"
"Kiribati",296,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Kuwait",414,"Total renewable water resources per capita",4190,1977,17.3372873907,"E","","0"
"Lao People's Democratic Republic",418,"Total renewable water resources per capita",4190,1977,106351.021511926,"E","","0"
"Lebanon",422,"Total renewable water resources per capita",4190,1977,1730.7647958674,"E","","0"
"Lesotho",426,"Total renewable water resources per capita",4190,1977,2459.8383767346,"E","","0"
"Liberia",430,"Total renewable water resources per capita",4190,1977,137104.494899949,"E","","0"
"Libya",434,"Total renewable water resources per capita",4190,1977,244.2737862472,"E","","0"
"Liechtenstein",438,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Luxembourg",442,"Total renewable water resources per capita",4190,1977,8452.064718667,"E","","0"
"Madagascar",450,"Total renewable water resources per capita",4190,1977,42134.6699067436,"E","","0"
"Malawi",454,"Total renewable water resources per capita",4190,1977,3022.0605171116,"E","","0"
"Malaysia",458,"Total renewable water resources per capita",4190,1977,45346.8218758073,"E","","0"
"Maldives",462,"Total renewable water resources per capita",4190,1977,207.4244110875,"E","","0"
"Mali",466,"Total renewable water resources per capita",4190,1977,17877.7155318762,"E","","0"
"Malta",470,"Total renewable water resources per capita",4190,1977,155.323919576,"E","","0"
"Marshall Islands",584,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Mauritania",478,"Total renewable water resources per capita",4190,1977,8078.5747693354,"E","","0"
"Mauritius",480,"Total renewable water resources per capita",4190,1977,2982.6958105647,"E","","0"
"Mexico",484,"Total renewable water resources per capita",4190,1977,7346.7267795848,"E","","0"
"Micronesia (Federated States of)",583,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Mongolia",496,"Total renewable water resources per capita",4190,1977,22276.1487099357,"E","","0"
"Morocco",504,"Total renewable water resources per capita",4190,1977,1557.4573123776,"E","","0"
"Mozambique",508,"Total renewable water resources per capita",4190,1977,20216.9141725411,"E","","0"
"Myanmar",104,"Total renewable water resources per capita",4190,1977,36463.2780942876,"E","","0"
"Namibia",516,"Total renewable water resources per capita",4190,1977,40193.1203396727,"E","","0"
"Nauru",520,"Total renewable water resources per capita",4190,1977,1351.5339910799,"E","","0"
"Nepal",524,"Total renewable water resources per capita",4190,1977,14983.7445617989,"E","","0"
"Netherlands",528,"Total renewable water resources per capita",4190,1977,6550.1003137066,"E","","0"
"New Zealand",554,"Total renewable water resources per capita",4190,1977,104726.931731492,"E","","0"
"Nicaragua",558,"Total renewable water resources per capita",4190,1977,55106.5503842084,"E","","0"
"Niger",562,"Total renewable water resources per capita",4190,1977,6200.8834938673,"E","","0"
"Nigeria",566,"Total renewable water resources per capita",4190,1977,4258.7303376712,"E","","0"
"Niue",570,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Norway",578,"Total renewable water resources per capita",4190,1977,97173.0793481244,"E","","0"
"Oman",512,"Total renewable water resources per capita",4190,1977,1431.7797840876,"E","","0"
"Pakistan",586,"Total renewable water resources per capita",4190,1977,3478.1055300342,"E","","0"
"Palau",585,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Palestine",275,"Total renewable water resources per capita",4190,1977,597.8063293192,"E","","0"
"Panama",591,"Total renewable water resources per capita",4190,1977,75799.3252802264,"E","","0"
"Papua New Guinea",598,"Total renewable water resources per capita",4190,1977,242533.760184677,"E","","0"
"Paraguay",600,"Total renewable water resources per capita",4190,1977,132087.207464492,"E","","0"
"Peru",604,"Total renewable water resources per capita",4190,1977,115620.795037815,"E","","0"
"Philippines",608,"Total renewable water resources per capita",4190,1977,10978.8323528174,"E","","0"
"Poland",616,"Total renewable water resources per capita",4190,1977,1750.0102541923,"E","","0"
"Portugal",620,"Total renewable water resources per capita",4190,1977,8206.939571795,"E","","0"
"Puerto Rico",630,"Total renewable water resources per capita",4190,1977,2410.1694213319,"E","","0"
"Qatar",634,"Total renewable water resources per capita",4190,1977,318.1254730745,"E","","0"
"Republic of Korea",410,"Total renewable water resources per capita",4190,1977,1910.876238742,"E","","0"
"Romania",642,"Total renewable water resources per capita",4190,1977,9598.4696776914,"E","","0"
"Rwanda",646,"Total renewable water resources per capita",4190,1977,2856.9077989931,"E","","0"
"Saint Kitts and Nevis",659,"Total renewable water resources per capita",4190,1977,546.1745027536,"E","","0"
"Saint Lucia",662,"Total renewable water resources per capita",4190,1977,2662.288680836,"E","","0"
"Saint Vincent and the Grenadines",670,"Total renewable water resources per capita",4190,1977,1023.530977165,"E","","0"
"Samoa",882,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Sao Tome and Principe",678,"Total renewable water resources per capita",4190,1977,24741.8000226989,"E","","0"
"Saudi Arabia",682,"Total renewable water resources per capita",4190,1977,292.4084551367,"E","","0"
"Senegal",686,"Total renewable water resources per capita",4190,1977,7520.9678097946,"E","","0"
"Seychelles",690,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Sierra Leone",694,"Total renewable water resources per capita",4190,1977,50465.0989683672,"E","","0"
"Singapore",702,"Total renewable water resources per capita",4190,1977,259.1806091435,"E","","0"
"Solomon Islands",90,"Total renewable water resources per capita",4190,1977,215017.557362066,"E","","0"
"Somalia",706,"Total renewable water resources per capita",4190,1977,3061.1346064183,"E","","0"
"South Africa",710,"Total renewable water resources per capita",4190,1977,1939.1325367067,"E","","0"
"Spain",724,"Total renewable water resources per capita",4190,1977,3040.9007698988,"E","","0"
"Sri Lanka",144,"Total renewable water resources per capita",4190,1977,3699.1640799958,"E","","0"
"Suriname",740,"Total renewable water resources per capita",4190,1977,276799.968685256,"E","","0"
"Sweden",752,"Total renewable water resources per capita",4190,1977,21089.1324912629,"E","","0"
"Switzerland",756,"Total renewable water resources per capita",4190,1977,8462.7595081476,"E","","0"
"Syrian Arab Republic",760,"Total renewable water resources per capita",4190,1977,2084.4475426234,"E","","0"
"Thailand",764,"Total renewable water resources per capita",4190,1977,9877.290190962,"E","","0"
"Timor-Leste",626,"Total renewable water resources per capita",4190,1977,13253.9334254037,"E","","0"
"Togo",768,"Total renewable water resources per capita",4190,1977,5836.9072809264,"E","","0"
"Tokelau",772,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Tonga",776,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Trinidad and Tobago",780,"Total renewable water resources per capita",4190,1977,3695.1074467962,"E","","0"
"Tunisia",788,"Total renewable water resources per capita",4190,1977,779.565419728,"E","","0"
"Turkey",792,"Total renewable water resources per capita",4190,1977,5147.379372101,"E","","0"
"Tuvalu",798,"Total renewable water resources per capita",4190,1977,0.0,"E","","0"
"Uganda",800,"Total renewable water resources per capita",4190,1977,5286.48388568,"E","","0"
"United Arab Emirates",784,"Total renewable water resources per capita",4190,1977,203.9861615788,"E","","0"
"United Kingdom",826,"Total renewable water resources per capita",4190,1977,2615.491055332,"E","","0"
"United Republic of Tanzania",834,"Total renewable water resources per capita",4190,1977,5694.692773484,"E","","0"
"United States of America",840,"Total renewable water resources per capita",4190,1977,13753.9645556345,"E","","0"
"Uruguay",858,"Total renewable water resources per capita",4190,1977,60273.899721312,"E","","0"
"Vanuatu",548,"Total renewable water resources per capita",4190,1977,94161.9585687382,"E","","0"
"Venezuela (Bolivarian Republic of)",862,"Total renewable water resources per capita",4190,1977,94884.2766298451,"E","","0"
"Viet Nam",704,"Total renewable water resources per capita",4190,1977,17383.0082765313,"E","","0"
"Yemen",887,"Total renewable water resources per capita",4190,1977,292.5330928061,"E","","0"
"Zambia",894,"Total renewable water resources per capita",4190,1977,19820.1510416549,"E","","0"
"Zimbabwe",716,"Total renewable water resources per capita",4190,1977,2979.3706883851,"E","","0"
"Afghanistan",4,"Long-term average annual precipitation in depth",4151,1982,327.0,"","","1603"
"Albania",8,"Long-term average annual precipitation in depth",4151,1982,1485.0,"X","","6030"
"Algeria",12,"Long-term average annual precipitation in depth",4151,1982,89.0,"X","","6030"
"Angola",24,"Long-term average annual precipitation in depth",4151,1982,1010.0,"X","","6030"
"Antigua and Barbuda",28,"Long-term average annual precipitation in depth",4151,1982,1030.0,"X","","6030"
"Argentina",32,"Long-term average annual precipitation in depth",4151,1982,591.0,"","","6433"
"Australia",36,"Long-term average annual precipitation in depth",4151,1982,534.0,"X","[101]","6030"
"Austria",40,"Long-term average annual precipitation in depth",4151,1982,1110.0,"X","","6030"
"Bahamas",44,"Long-term average annual precipitation in depth",4151,1982,1292.0,"X","","6030"
"Bahrain",48,"Long-term average annual precipitation in depth",4151,1982,83.0,"","","1603"
"Bangladesh",50,"Long-term average annual precipitation in depth",4151,1982,2666.0,"X","","6030"
"Barbados",52,"Long-term average annual precipitation in depth",4151,1982,1422.0,"X","","6030"
"Belgium",56,"Long-term average annual precipitation in depth",4151,1982,847.0,"X","","6030"
"Belize",84,"Long-term average annual precipitation in depth",4151,1982,1705.0,"X","","6030"
"Benin",204,"Long-term average annual precipitation in depth",4151,1982,1039.0,"X","","6030"
"Bhutan",64,"Long-term average annual precipitation in depth",4151,1982,2200.0,"X","","6030"
"Bolivia (Plurinational State of)",68,"Long-term average annual precipitation in depth",4151,1982,1146.0,"","","6433"
"Botswana",72,"Long-term average annual precipitation in depth",4151,1982,416.0,"X","","6030"
"Brazil",76,"Long-term average annual precipitation in depth",4151,1982,1761.0,"","[102,103]","6433"
"Brunei Darussalam",96,"Long-term average annual precipitation in depth",4151,1982,2722.0,"X","","6030"
"Bulgaria",100,"Long-term average annual precipitation in depth",4151,1982,608.0,"X","","6030"
"Burkina Faso",854,"Long-term average annual precipitation in depth",4151,1982,748.0,"X","","6030"
"Burundi",108,"Long-term average annual precipitation in depth",4151,1982,1274.0,"X","","6030"
"Cabo Verde",132,"Long-term average annual precipitation in depth",4151,1982,228.0,"X","","6030"
"Cambodia",116,"Long-term average annual precipitation in depth",4151,1982,1904.0,"X","[104]","6030"
"Cameroon",120,"Long-term average annual precipitation in depth",4151,1982,1604.0,"X","","6030"
"Canada",124,"Long-term average annual precipitation in depth",4151,1982,537.0,"X","","6030"
"Central African Republic",140,"Long-term average annual precipitation in depth",4151,1982,1343.0,"X","","6030"
"Chad",148,"Long-term average annual precipitation in depth",4151,1982,322.0,"X","","6030"
"Chile",152,"Long-term average annual precipitation in depth",4151,1982,1522.0,"","","6433"
"China",156,"Long-term average annual precipitation in depth",4151,1982,645.0,"X","[105]","6030"
"Colombia",170,"Long-term average annual precipitation in depth",4151,1982,3240.0,"","[106]","6433"
"Comoros",174,"Long-term average annual precipitation in depth",4151,1982,900.0,"X","","6030"
"Congo",178,"Long-term average annual precipitation in depth",4151,1982,1646.0,"X","","6030"
"Costa Rica",188,"Long-term average annual precipitation in depth",4151,1982,2926.0,"X","[107]","6030"
"Côte d'Ivoire",384,"Long-term average annual precipitation in depth",4151,1982,1348.0,"X","","6030"
"Cuba",192,"Long-term average annual precipitation in depth",4151,1982,1335.0,"X","","6030"
"Cyprus",196,"Long-term average annual precipitation in depth",4151,1982,498.0,"","","1592"
"Democratic People's Republic of Korea",408,"Long-term average annual precipitation in depth",4151,1982,1054.0,"X","","6030"
"Democratic Republic of the Congo",180,"Long-term average annual precipitation in depth",4151,1982,1543.0,"X","","6030"
"Denmark",208,"Long-term average annual precipitation in depth",4151,1982,703.0,"X","","6030"
"Djibouti",262,"Long-term average annual precipitation in depth",4151,1982,220.0,"X","","6030"
"Dominica",212,"Long-term average annual precipitation in depth",4151,1982,2083.0,"X","","6030"
"Dominican Republic",214,"Long-term average annual precipitation in depth",4151,1982,1410.0,"X","","6030"
"Ecuador",218,"Long-term average annual precipitation in depth",4151,1982,2274.0,"","","6433"
"Egypt",818,"Long-term average annual precipitation in depth",4151,1982,18.1,"","","6783"
"El Salvador",222,"Long-term average annual precipitation in depth",4151,1982,1784.0,"","[108]","6433"
"Equatorial Guinea",226,"Long-term average annual precipitation in depth",4151,1982,2156.0,"X","","6030"
"Eswatini",748,"Long-term average annual precipitation in depth",4151,1982,788.0,"X","","6030"
"Fiji",242,"Long-term average annual precipitation in depth",4151,1982,2592.0,"","","1597"
"Finland",246,"Long-term average annual precipitation in depth",4151,1982,536.0,"X","","6030"
"France",250,"Long-term average annual precipitation in depth",4151,1982,867.0,"","","1593"
"Gabon",266,"Long-term average annual precipitation in depth",4151,1982,1831.0,"X","","6030"
"Gambia",270,"Long-term average annual precipitation in depth",4151,1982,836.0,"X","","6030"
"Germany",276,"Long-term average annual precipitation in depth",4151,1982,700.0,"X","","6030"
"Ghana",288,"Long-term average annual precipitation in depth",4151,1982,1187.0,"X","","6030"
"Greece",300,"Long-term average annual precipitation in depth",4151,1982,652.0,"","[109]","1596"
"Grenade",308,"Long-term average annual precipitation in depth",4151,1982,2350.0,"X","","6030"
"Guatemala",320,"Long-term average annual precipitation in depth",4151,1982,1996.0,"X","","6030"
"Guinea",324,"Long-term average annual precipitation in depth",4151,1982,1651.0,"X","","6030"
"Guinea-Bissau",624,"Long-term average annual precipitation in depth",4151,1982,1577.0,"X","","6030"
"Guyana",328,"Long-term average annual precipitation in depth",4151,1982,2387.0,"","[110]","6433"
"Haiti",332,"Long-term average annual precipitation in depth",4151,1982,1440.0,"X","","6030"
"Honduras",340,"Long-term average annual precipitation in depth",4151,1982,1976.0,"X","[111]","6030"
"Hungary",348,"Long-term average annual precipitation in depth",4151,1982,589.0,"","","1588"
"Iceland",352,"Long-term average annual precipitation in depth",4151,1982,1940.0,"X","","6030"
"India",356,"Long-term average annual precipitation in depth",4151,1982,1083.0,"X","","6030"
"Indonesia",360,"Long-term average annual precipitation in depth",4151,1982,2702.0,"X","","6030"
"Iran (Islamic Republic of)",364,"Long-term average annual precipitation in depth",4151,1982,228.0,"","","1603"
"Iraq",368,"Long-term average annual precipitation in depth",4151,1982,216.0,"","","1600"
"Ireland",372,"Long-term average annual precipitation in depth",4151,1982,1118.0,"X","","6030"
"Israel",376,"Long-term average annual precipitation in depth",4151,1982,435.0,"","","1595"
"Italy",380,"Long-term average annual precipitation in depth",4151,1982,832.0,"X","","6030"
"Jamaica",388,"Long-term average annual precipitation in depth",4151,1982,2051.0,"X","","6030"
"Japan",392,"Long-term average annual precipitation in depth",4151,1982,1668.0,"","","1603"
"Jordan",400,"Long-term average annual precipitation in depth",4151,1982,111.0,"","[112]","1604"
"Kenya",404,"Long-term average annual precipitation in depth",4151,1982,630.0,"X","[113]","6030"
"Kuwait",414,"Long-term average annual precipitation in depth",4151,1982,121.0,"","","1604"
"Lao People's Democratic Republic",418,"Long-term average annual precipitation in depth",4151,1982,1834.0,"X","","6030"
"Lebanon",422,"Long-term average annual precipitation in depth",4151,1982,661.0,"","","1602"
"Lesotho",426,"Long-term average annual precipitation in depth",4151,1982,788.0,"X","","6030"
"Liberia",430,"Long-term average annual precipitation in depth",4151,1982,2391.0,"X","","6030"
"Libya",434,"Long-term average annual precipitation in depth",4151,1982,56.0,"X","","6030"
"Luxembourg",442,"Long-term average annual precipitation in depth",4151,1982,934.0,"X","","6030"
"Madagascar",450,"Long-term average annual precipitation in depth",4151,1982,1513.0,"X","","6030"
"Malawi",454,"Long-term average annual precipitation in depth",4151,1982,1181.0,"X","","6030"
"Malaysia",458,"Long-term average annual precipitation in depth",4151,1982,2875.0,"X","","6030"
"Maldives",462,"Long-term average annual precipitation in depth",4151,1982,1972.0,"X","","6030"
"Mali",466,"Long-term average annual precipitation in depth",4151,1982,282.0,"X","","6030"
"Malta",470,"Long-term average annual precipitation in depth",4151,1982,560.0,"X","","6030"
"Mauritania",478,"Long-term average annual precipitation in depth",4151,1982,92.0,"X","","6030"
"Mauritius",480,"Long-term average annual precipitation in depth",4151,1982,2041.0,"X","","6030"
"Mexico",484,"Long-term average annual precipitation in depth",4151,1982,758.0,"","[114,115]","6467"
"Mongolia",496,"Long-term average annual precipitation in depth",4151,1982,241.0,"X","","6030"
"Morocco",504,"Long-term average annual precipitation in depth",4151,1982,346.0,"X","","6030"
"Mozambique",508,"Long-term average annual precipitation in depth",4151,1982,1032.0,"X","","6030"
"Myanmar",104,"Long-term average annual precipitation in depth",4151,1982,2091.0,"X","","6030"
"Namibia",516,"Long-term average annual precipitation in depth",4151,1982,285.0,"X","","6030"
"Nepal",524,"Long-term average annual precipitation in depth",4151,1982,1500.0,"X","","6030"
"Netherlands",528,"Long-term average annual precipitation in depth",4151,1982,778.0,"X","","6030"
"New Zealand",554,"Long-term average annual precipitation in depth",4151,1982,1732.0,"","[116]","1589"
"Nicaragua",558,"Long-term average annual precipitation in depth",4151,1982,2280.0,"","","6433"
"Niger",562,"Long-term average annual precipitation in depth",4151,1982,151.0,"X","","6030"
"Nigeria",566,"Long-term average annual precipitation in depth",4151,1982,1150.0,"X","","6030"
"Norway",578,"Long-term average annual precipitation in depth",4151,1982,1414.0,"X","","6030"
"Oman",512,"Long-term average annual precipitation in depth",4151,1982,125.0,"","[117]","1601"
"Pakistan",586,"Long-term average annual precipitation in depth",4151,1982,494.0,"X","","6030"
"Palestine",275,"Long-term average annual precipitation in depth",4151,1982,402.0,"X","","6030"
"Panama",591,"Long-term average annual precipitation in depth",4151,1982,2928.0,"","","6433"
"Papua New Guinea",598,"Long-term average annual precipitation in depth",4151,1982,3142.0,"X","","6030"
"Paraguay",600,"Long-term average annual precipitation in depth",4151,1982,1130.0,"","","6433"
"Peru",604,"Long-term average annual precipitation in depth",4151,1982,1738.0,"","","6433"
"Philippines",608,"Long-term average annual precipitation in depth",4151,1982,2348.0,"X","","6030"
"Poland",616,"Long-term average annual precipitation in depth",4151,1982,600.0,"X","","6030"
"Portugal",620,"Long-term average annual precipitation in depth",4151,1982,854.0,"X","","6030"
"Puerto Rico",630,"Long-term average annual precipitation in depth",4151,1982,2054.0,"X","","6030"
"Qatar",634,"Long-term average annual precipitation in depth",4151,1982,74.0,"","[118]","1601"
"Republic of Korea",410,"Long-term average annual precipitation in depth",4151,1982,1274.0,"X","","6030"
"Romania",642,"Long-term average annual precipitation in depth",4151,1982,637.0,"X","","6030"
"Rwanda",646,"Long-term average annual precipitation in depth",4151,1982,1212.0,"X","","6030"
"Saint Kitts and Nevis",659,"Long-term average annual precipitation in depth",4151,1982,1427.0,"X","","6030"
"Saint Lucia",662,"Long-term average annual precipitation in depth",4151,1982,2301.0,"X","","6030"
"Saint Vincent and the Grenadines",670,"Long-term average annual precipitation in depth",4151,1982,1583.0,"X","","6030"
"Samoa",882,"Long-term average annual precipitation in depth",4151,1982,2880.0,"","","6644"
"Sao Tome and Principe",678,"Long-term average annual precipitation in depth",4151,1982,3200.0,"X","","6030"
"Saudi Arabia",682,"Long-term average annual precipitation in depth",4151,1982,59.0,"","[119]","1598"
"Senegal",686,"Long-term average annual precipitation in depth",4151,1982,686.0,"X","","6030"
"Seychelles",690,"Long-term average annual precipitation in depth",4151,1982,2330.0,"X","[120]","6030"
"Sierra Leone",694,"Long-term average annual precipitation in depth",4151,1982,2526.0,"X","","6030"
"Singapore",702,"Long-term average annual precipitation in depth",4151,1982,2497.0,"X","","6030"
"Solomon Islands",90,"Long-term average annual precipitation in depth",4151,1982,3028.0,"X","","6030"
"Somalia",706,"Long-term average annual precipitation in depth",4151,1982,282.0,"X","","6030"
"South Africa",710,"Long-term average annual precipitation in depth",4151,1982,495.0,"X","","6030"
"Spain",724,"Long-term average annual precipitation in depth",4151,1982,636.0,"X","","6030"
"Sri Lanka",144,"Long-term average annual precipitation in depth",4151,1982,1712.0,"X","","6030"
"Suriname",740,"Long-term average annual precipitation in depth",4151,1982,2331.0,"","[121]","6433"
"Sweden",752,"Long-term average annual precipitation in depth",4151,1982,624.0,"X","","6030"
"Switzerland",756,"Long-term average annual precipitation in depth",4151,1982,1537.0,"X","","6030"
